,,, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21,Q22,Q23,, Q25, Q26, Q27, Q28,, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39,,,, Q43, Q44, Q45, Q46, Q47
89999907,,,1,2,2,1,Don't know what it is,2,1,2,2,2,2,0,2,2,2,1,2,2,2,2,2,1,Don't know what it is,,1,1,1,1,,0,0,0,2,2,2,2,2,2,2,,,,2,1,Don't know what it is,2,1
89999898,,,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Don't know what it is,Other: ,Other: ,Other: ,Other: ,Other: ,,Other: ,3,3,Other: ,Other: ,2,Other: ,Don't know,Don't know what it is,Don't know what it is,,Other: ,2,2,Don't know what it is,,Other: ,Other: ,3,Other: ,Other: ,Other: ,3,3,3,Other: ,,,,Other: ,Other: ,Other: ,Other: ,Other: 
89999889,,,Other: ,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,0,,1,2,2,2,,3,2,2,2,,2,3,3,2,1,,,,2,2,2,2,2
89999880,,,3,2,3,2,0,2,Don't know what it is,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,3,3,2,2,2,1,Don't know,1,1,,2,3,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3
89999871,,,Other: ,Other: ,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,1,3,3,0,,3,3,3,3,,0,0,2,2,2,2,3,3,3,3,,,,1,Other: ,Other: ,3,Other: 
89999862,,,3,2,2,2,2,3,1,3,2,2,1,2,2,2,2,2,2,2,2,2,Don't know,1,0,,2,2,2,2,,2,2,2,1,2,3,3,2,2,2,,,,3,3,3,3,2
89999853,,,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,1,3,3,1,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,1,1,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,,,,2,2,2,2,2
89999844,,,0,1,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other,1,1,1,1,0,1,3,Don't know,1,1,,1,1,1,1,,0,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,0,Don't know what it is,2
89999835,,,2,2,2,2,1,2,2,2,2,2,2,1,2,2,,2,2,2,2,1,2,2,1,,2,2,1,2,,1,1,2,2,1,1,1,2,1,2,,,,1,1,1,1,2
89999826,,,3,2,2,3,2,3,3,1,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,,3,3,3,3,,3,3,3,3,3,3,3,3,3,2,,,,3,3,3,2,3
89999817,,,2,3,3,2,2,3,3,3,2,2,3,2,1,1,3,3,2,2,1,2,3,2,2,,2,2,1,3,,1,1,1,2,2,2,3,3,3,2,,,,0,0,0,1,1
89999808,,,2,2,2,3,2,2,2,Other: ,3,2,0,0,2,2,2,1,2,2,2,2,Other: ,1,1,,2,2,2,2,,2,2,2,3,1,1,2,2,2,Other: ,,,,2,1,1,1,2
89999799,,,3,2,2,1,1,1,Don't know what it is,2,2,,1,Don't know what it is,3,2,2,2,2,2,1,2,1,3,2,,1,1,1,1,,1,1,2,2,2,1,2,2,2,1,,,,1,1,1,3,2
89999790,,,2,2,2,2,1,2,2,2,2,2,Don't know what it is,1,2,2,2,1,1,Other: ,2,1,1,1,2,,1,1,1,1,,Don't know what it is,Don't know what it is,2,2,2,2,1,2,3,2,,,,1,1,1,1,Don't know what it is
89999781,,,2,1,2,Other,2,Other,2,2,2,2,2,0,1,1,Other,1,1,1,1,2,2,2,1,,1,1,1,,,1,1,1,1,2,2,2,2,2,2,,,,2,2,Other,1,2
89999772,,,3,3,3,3,Other: ,2,2,3,2,2,2,2,2,2,3,3,2,2,1,3,2,2,Don't know what it is,,0,1,1,2,,2,2,2,2,3,3,3,2,2,2,,,,2,2,2,2,2
89999763,,,3,2,3,2,2,Other: ,1,2,Don't know what it is,3,Other: ,2,3,3,3,3,3,3,3,2,2,2,Don't know what it is,,2,2,3,Other: ,,1,2,2,2,Don't know what it is,2,Other: ,2,Other: ,Other: ,,,,2,2,2,2,2
89999754,,,3,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,1,2,3,1,,3,3,2,2,,2,2,2,2,2,2,2,2,3,2,,,,2,2,2,3,3
89999745,,,3,2,2,Don't know what it is,1,1,1,Other: ,1,2,Other: ,Don't know what it is,2,2,Don't know what it is,2,2,2,2,1,Don't know,3,Don't know what it is,,2,2,2,Don't know what it is,,1,1,2,Other: ,3,3,3,Other: ,2,3,,,,3,2,2,2,3
89999736,,,3,2,2,Other: ,2,2,2,2,3,3,2,2,2,3,3,3,Other: ,Other: ,2,1,3,2,1,,0,2,2,2,,Other: ,Other: ,2,2,2,2,2,3,2,2,,,,2,Other: ,Other: ,2,Other: 
89999727,,,2,2,3,2,2,2,1,1,2,2,1,0,2,1,2,1,2,2,1,2,1,1,1,,0,1,1,1,,1,1,1,2,2,1,3,2,2,1,,,,1,1,1,1,0
89999718,,,3,3,3,Don't know what it is,1,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,2,3,3,Don't know what it is,2,2,2,3,1,2,2,Don't know what it is,,2,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,,2,2,,,,2,2,2,2,1
89999709,,,2,2,2,1,Don't know what it is,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,Don't know what it is,,1,1,1,1,,2,2,2,2,0,1,1,2,2,1,,,,2,2,2,2,2
89999700,,,3,1,2,2,2,1,Don't know what it is,0,Don't know what it is,1,0,Don't know what it is,0,1,2,0,2,2,3,2,Don't know,0,0,,0,0,0,Don't know what it is,,0,2,Don't know what it is,3,Don't know what it is,1,3,2,Don't know what it is,2,,,,2,0,2,1,2
89999691,,,2,2,2,3,2,2,2,Don't know what it is,2,2,2,2,2,2,2,2,3,3,2,1,2,1,1,,2,2,2,2,,2,3,2,2,2,2,3,2,3,2,,,,2,2,2,2,2
89999682,,,3,3,3,3,2,2,2,3,2,2,2,Don't know what it is,3,3,2,2,3,3,3,1,2,3,1,,2,3,3,2,,1,1,2,2,2,2,3,3,3,2,,,,2,2,2,3,3
89999673,,,2,2,2,1,0,1,1,1,2,2,2,1,2,0,1,1,1,1,,2,2,1,1,,1,1,1,1,,0,0,2,2,2,2,2,2,2,2,,,,0,0,0,2,2
89999664,,,3,Other: ,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,1,2,Don't know what it is,Don't know what it is,3,2,2,1,2,2,2,2,2,1,Don't know what it is,,2,1,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,1,0,1,Don't know what it is
89999655,,,3,3,2,2,1,1,0,0,2,2,2,2,2,1,2,2,Other: ,2,2,2,1,0,0,,0,0,0,0,,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,,,,3,3,3,2,3
89999646,,,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,,3,2,3,2,,2,1,2,1,1,1,3,3,2,2,,,,1,1,2,2,2
89999637,,,3,2,2,1,1,2,,2,1,2,2,3,2,3,2,2,1,1,2,2,2,1,0,,2,2,2,1,,1,1,2,2,1,1,2,2,1,2,,,,2,2,2,2,3
89999628,,,2,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,1,1,1,Don't know what it is,1,2,1,2,2,2,2,1,2,Don't know,1,Don't know what it is,,1,1,1,1,,1,2,2,1,1,Don't know what it is,2,2,2,2,,,,2,2,2,2,2
89999619,,,3,2,2,3,2,2,2,2,1,2,1,0,3,2,2,2,2,2,2,2,2,3,Don't know what it is,,3,3,3,2,,0,0,2,1,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,0,0,1,2
89999610,,,3,2,2,2,3,1,1,2,2,2,1,Don't know what it is,3,3,3,2,2,2,1,1,1,1,Don't know what it is,,2,2,2,Don't know what it is,,1,1,2,2,2,1,2,2,3,1,,,,0,0,0,1,0
89999601,,,3,2,3,2,2,2,3,3,2,3,2,2,3,3,2,2,3,2,3,1,1,1,Don't know what it is,,2,2,3,2,,Don't know what it is,Don't know what it is,2,2,2,2,Don't know what it is,Don't know what it is,2,2,,,,2,0,Don't know what it is,2,0
89999592,,,3,3,3,3,3,3,3,3,3,3,3,Don't know what it is,3,3,3,3,Don't know what it is,Don't know what it is,Don't know what it is,1,2,2,2,,3,3,3,3,,2,2,2,2,3,2,3,3,2,3,,,,3,3,3,1,3
89999583,,,2,3,2,2,Don't know what it is,2,3,2,2,3,3,Don't know what it is,3,2,3,3,3,3,3,1,3,2,Don't know what it is,,3,2,2,Don't know what it is,,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,3,,,,1,1,Don't know what it is,3,
90000492,,,2,2,2,1,Other: ,1,Don't know what it is,1,1,1,Don't know what it is,Don't know what it is,2,1,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,1,Don't know what it is,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,2,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,1
90000501,,,3,1,1,1,2,2,1,1,,2,3,3,2,2,1,1,1,2,0,3,2,1,0,,0,0,1,0,,2,,2,1,1,0,2,3,3,2,,,,3,3,3,2,2
90000600,,,2,2,2,3,1,2,2,2,2,2,2,,2,1,3,3,3,3,2,2,3,3,1,,2,1,0,1,,3,3,2,2,3,2,3,3,2,3,,,,3,3,3,1,3
90000780,,,2,2,3,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,,1,,,1,1,1,2,,2,2,2,2,2,3,2,2,,2,,,,2,3,2,2,2
90000915,,,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,1,Don't know what it is,Other: ,Don't know what it is,1,1,Other: ,Don't know what it is,Other: ,Other: ,1,Other: ,2,1,0,,Other: ,Other: ,1,Don't know what it is,,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,,,,Other: ,Other: ,Other: ,Other: ,Other: 
90003318,,,2,3,,2,Other: ,Other: ,Don't know what it is,2,1,3,2,2,2,2,3,2,2,2,2,1,Don't know,2,Don't know what it is,,2,2,2,2,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,Don't know what it is,,,,3,3,3,2,2
90003345,,,3,2,2,3,Don't know what it is,2,2,2,2,3,Don't know what it is,Don't know what it is,3,3,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,1,Don't know,3,Don't know what it is,,2,3,Other: ,Don't know what it is,,0,2,2,Don't know what it is,Don't know what it is,1,3,3,3,3,,,,3,3,3,2,Other: 
90003534,,,2,2,3,3,3,2,2,2,2,3,2,1,2,2,2,2,3,3,3,1,2,1,2,,2,2,2,3,,1,1,1,2,2,3,3,2,2,2,,,,3,2,2,2,2
90003795,,,3,2,2,2,1,0,Don't know what it is,1,1,2,0,0,2,2,2,1,1,2,2,2,1,3,0,,1,Other: ,2,2,,0,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,,,,0,0,0,1,2
90003840,,,2,1,2,1,1,2,Don't know what it is,2,2,2,Don't know what it is,Don't know what it is,3,3,Don't know what it is,1,1,2,3,2,Don't know,2,1,,3,3,3,2,,1,1,2,1,2,Don't know what it is,3,2,1,1,,,,Don't know what it is,Don't know what it is,1,3,2
90004002,,,2,2,2,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,1,2,2,2,1,2,1,1,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,,,,1,1,2,2,2
90004182,,,3,2,3,1,1,2,Don't know what it is,0,2,3,3,Don't know what it is,3,3,0,Other: ,2,2,0,2,Don't know,2,0,,3,3,1,Don't know what it is,,Other: ,2,0,Don't know what it is,3,2,3,3,2,3,,,,Other: ,Other: ,Other: ,Other: ,2
90005388,,,3,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,Don't know,3,1,,1,1,1,1,,1,1,2,Don't know what it is,1,1,2,2,1,1,,,,1,1,1,2,2
90006009,,,2,2,2,3,2,3,2,3,2,3,,2,3,1,3,2,2,2,0,1,Don't know,3,1,,1,1,1,Don't know what it is,,2,2,2,2,2,2,3,3,2,2,,,,2,2,Other: ,Other: ,Other: 
90006126,,,2,3,2,2,3,2,2,2,3,3,2,Don't know what it is,2,2,3,3,2,2,2,2,Don't know,2,1,,2,2,2,2,,2,Don't know what it is,2,2,Don't know what it is,3,3,3,2,2,,,,2,2,2,2,2
90015486,,,3,1,2,2,1,Don't know what it is,1,2,Don't know what it is,Don't know what it is,2,2,3,2,2,2,2,2,1,2,Don't know,2,1,,2,1,2,3,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,2,2,Don't know what it is,1,,,,2,2,1,3,3
90019473,,,,,3,2,1,0,3,2,2,2,1,Other: ,3,3,2,2,Other: ,2,3,2,2,2,Don't know what it is,,3,3,2,Don't know what it is,,2,2,2,Don't know what it is,1,1,1,1,2,1,,,,2,2,2,1,0
90020202,,,2,2,1,3,2,1,2,3,2,3,Other: ,Don't know what it is,0,2,3,3,3,2,Other: ,1,3,1,0,,1,Don't know what it is,1,Don't know what it is,,2,2,2,2,2,2,1,2,2,2,,,,Other: ,Don't know what it is,1,2,Other: 
90021201,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3
90025728,,,1,1,2,Other: ,Other: ,2,2,2,2,2,1,1,2,2,Other: ,2,Other: ,Other: ,2,Other: ,Don't know,Don't know what it is,Don't know what it is,,1,1,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,1,1,,,,1,1,1,1,Other: 
90026232,,,3,2,3,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,1,3,3,2,,3,3,3,3,,1,1,Don't know what it is,Don't know what it is,3,3,3,3,3,3,,,,3,3,3,Other: ,3
90026673,,,2,2,2,1,2,Other: ,1,2,2,2,Other: ,2,3,3,2,2,2,2,3,2,2,2,1,,3,3,3,3,,1,1,1,3,2,2,3,2,1,1,,,,1,1,1,2,3
90027087,,,2,2,2,2,1,1,Don't know what it is,0,1,Don't know what it is,Don't know what it is,Don't know what it is,1,0,Don't know what it is,1,1,1,1,2,Don't know,1,Don't know what it is,,2,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
90027501,,,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,1,3,3,2,,3,2,3,3,,Other: ,Other: ,2,2,2,2,Other: ,2,2,Don't know what it is,,,,2,2,2,2,Other: 
90027690,,,2,2,2,2,Don't know what it is,2,1,2,2,2,Don't know what it is,Don't know what it is,2,2,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,2,1,1,0,,0,1,1,Don't know what it is,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,Don't know what it is,Don't know what it is,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
90027933,,,3,3,3,3,1,3,2,2,2,2,1,2,3,2,2,2,2,2,2,1,Don't know,1,Don't know what it is,,2,1,2,Don't know what it is,,2,2,2,Don't know what it is,Don't know what it is,1,3,2,2,2,,,,2,2,2,2,2
90028068,,,2,1,1,2,0,1,1,1,Other: ,Other: ,Other: ,Don't know what it is,1,1,3,2,2,2,2,3,Don't know,0,0,,0,2,1,Don't know what it is,,0,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,,2,,,,1,0,0,Other: ,Other: 
90028104,,,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,1,3,3,2,,3,3,3,3,,2,2,2,1,1,2,2,2,3,3,,,,3,3,2,2,3
90028185,,,2,3,3,2,3,2,1,2,2,3,2,0,3,3,1,2,1,2,3,1,3,1,Don't know what it is,,3,3,3,Don't know what it is,,2,2,2,2,2,1,3,2,2,2,,,,Other: ,Other: ,Other: ,Other: ,3
90028212,,,3,2,2,3,2,2,3,3,3,3,2,1,3,3,3,2,2,2,2,1,2,3,2,,3,3,3,3,,3,3,2,2,2,3,3,3,2,3,,,,2,2,2,,2
90028689,,,2,2,2,2,Don't know what it is,2,Don't know what it is,2,2,2,1,0,2,1,2,0,2,2,1,1,1,1,0,,1,1,1,1,,0,0,2,0,2,2,2,0,0,0,,,,2,2,2,2,1
90029814,,,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,3,2,1,1,,1,1,1,2,,2,1,1,1,,1,1,1,1,1,,,,2,2,2,2,3
90029967,,,2,2,2,1,2,1,2,2,2,2,1,0,2,1,2,2,2,2,1,1,2,2,1,,1,2,1,2,,2,2,2,2,2,2,1,2,1,0,,,,2,2,2,2,2
90031344,,,2,2,2,2,1,Don't know what it is,1,2,2,2,Don't know what it is,Don't know what it is,2,2,2,1,2,2,1,2,2,3,1,,2,1,1,Don't know what it is,,0,0,1,0,0,1,2,1,2,1,,,,0,0,0,1,0
90031677,,,3,2,3,2,2,1,2,2,3,3,1,0,2,2,3,3,3,3,3,2,2,1,0,,2,2,2,2,,2,2,3,3,2,2,3,2,2,2,,,,2,2,2,2,3
90032145,,,3,2,3,1,1,1,Other: ,1,1,2,1,Other: ,2,2,2,1,1,1,3,1,2,1,1,,3,3,3,3,,1,2,2,1,2,2,3,3,3,1,,,,3,3,3,3,3
90032343,,,2,2,2,3,1,1,2,2,2,2,3,3,2,3,2,2,2,3,3,1,2,1,1,,3,3,3,2,,1,2,2,2,2,3,3,3,3,2,,,,3,3,3,2,3
90032640,,,3,3,3,Other: ,0,1,Don't know what it is,1,1,2,0,1,3,3,2,3,2,3,Other: ,Other: ,2,2,1,,3,3,3,2,,Other: ,2,Don't know what it is,,Other: ,3,2,1,1,2,,,,1,1,1,3,3
90032820,,,2,3,3,3,Don't know what it is,1,1,2,2,2,1,Don't know what it is,3,2,2,3,2,2,2,2,Don't know,1,Don't know what it is,,3,3,3,Don't know what it is,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,2,3,3,3,2,,,,3,3,2,2,2
90032946,,,3,3,1,3,2,2,2,2,3,3,1,1,3,3,2,1,2,2,2,1,2,1,1,,2,3,2,2,,2,2,2,2,2,3,3,3,3,2,,,,2,2,2,2,2
90033261,,,3,3,2,3,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,1,2,2,1,,1,2,1,Don't know what it is,,1,2,2,2,1,1,1,2,2,3,,,,1,1,1,1,1
90033279,,,2,2,2,1,1,2,2,2,1,3,1,0,3,3,3,3,3,3,3,2,1,3,Don't know what it is,,2,3,2,2,,0,1,2,2,2,3,3,3,2,3,,,,0,0,0,3,1
90033315,,,3,3,3,3,2,Don't know what it is,Don't know what it is,2,2,3,2,3,3,3,3,3,2,2,3,1,3,3,Don't know what it is,,3,3,,Don't know what it is,,Don't know what it is,Don't know what it is,3,2,Don't know what it is,3,3,3,2,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,1,3
90033675,,,3,2,2,Don't know what it is,Don't know what it is,2,Don't know what it is,2,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,1,0,1,1,Other: ,Other: ,1,3,Other: ,2,Don't know what it is,,1,1,1,Don't know what it is,,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
90033828,,,Other: ,2,3,Don't know what it is,Don't know what it is,3,Don't know what it is,2,1,1,2,0,3,3,3,3,3,3,3,1,2,1,0,,2,2,0,Don't know what it is,,1,1,1,0,2,2,3,Don't know what it is,3,1,,,,0,0,0,1,0
90036267,,,1,1,2,1,2,2,0,1,2,2,1,0,1,0,2,1,2,2,0,2,2,2,2,,0,0,0,0,,2,1,2,2,2,2,1,2,1,0,,,,2,2,2,3,2
90038985,,,2,1,1,1,Don't know what it is,1,1,1,2,2,0,Don't know what it is,1,1,1,1,1,1,2,2,1,1,0,,1,1,1,1,,1,1,1,Don't know what it is,Don't know what it is,Don't know what it is,3,3,1,1,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
90039975,,,3,2,2,1,1,1,Don't know what it is,2,2,2,2,0,2,2,2,2,1,1,1,1,2,2,1,,1,1,1,2,,0,0,2,1,2,2,2,2,1,1,,,,1,1,1,1,1
90040128,,,2,2,2,3,3,Other,3,2,3,2,2,2,,3,2,2,2,2,2,1,3,3,3,,2,2,2,2,,2,2,3,2,3,3,3,,3,2,,,,2,2,3,2,2
90040317,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2
90040389,,,3,3,3,1,2,2,2,2,,2,2,1,2,2,2,3,3,3,3,1,2,2,1,,3,3,3,3,,2,2,2,Don't know what it is,2,Don't know what it is,3,2,2,2,,,,1,1,1,2,2
90040443,,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,0,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,1,3,Don't know what it is,,1,Don't know what it is,1,Don't know what it is,,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,2
90040461,,,3,3,2,,2,1,1,3,3,2,2,,2,2,2,2,2,3,2,1,2,2,2,,3,3,3,3,,2,2,2,2,2,2,,2,2,,,,,3,2,2,3,3
